ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-04 21:01:54,0,1,0,0,-1.0
2,2018-05-04 21:01:58,0,1,0,0,-1.0
3,2018-05-04 21:22:04,0,1,0,0,-1.0
4,2018-05-04 21:26:45,0,1,0,0,-1.0
5,2018-05-04 22:23:41,0,1,0,0,-1.0
6,2018-05-04 22:23:43,0,1,0,0,-1.0
7,2018-05-04 22:34:39,0,1,0,0,-1.0
8,2018-05-04 22:57:08,1,0,0,0,-1.0
9,2018-05-04 23:01:26,1,0,0,0,-1.0
10,2018-05-04 23:22:31,1,0,0,0,-1.0
11,2018-05-04 23:42:29,1,0,0,0,-1.0
12,2018-05-04 23:45:14,1,0,0,0,-1.0
13,2018-05-05 05:09:44,0,1,0,0,-1.0
14,2018-05-05 05:09:47,0,0,1,0,-1.0
15,2018-05-05 05:09:50,0,0,0,1,-1.0
16,2018-05-07 20:57:55,1,0,0,0,-1.0
17,2018-05-07 20:59:33,-1,-1,-1,-1,0.0
18,2018-05-07 20:59:34,-1,-1,-1,-1,0.0
19,2018-05-07 21:11:35,-1,-1,-1,-1,0.0219999998807907
20,2018-05-07 21:11:36,-1,-1,-1,-1,0.0219999998807907
21,2018-05-08 20:41:21,-1,-1,-1,-1,0.0189999993890524
22,2018-05-08 20:41:22,-1,-1,-1,-1,0.0189999993890524
23,2018-05-08 20:41:26,1,0,0,0,-1.0
24,2018-05-09 20:02:35,-1,-1,-1,-1,0.0320000015199184
25,2018-05-09 20:02:36,-1,-1,-1,-1,0.0320000015199184
26,2018-05-09 20:02:52,1,0,0,0,-1.0
27,2018-05-09 22:32:16,1,0,0,0,-1.0
28,2018-05-09 22:52:16,-1,-1,-1,-1,0.0390000008046627
29,2018-05-09 22:52:17,-1,-1,-1,-1,0.0390000008046627
30,2018-05-11 00:23:14,-1,-1,-1,-1,0.0399999991059303
31,2018-05-11 00:23:16,-1,-1,-1,-1,0.0399999991059303
32,2018-05-11 00:23:17,1,0,0,0,-1.0
33,2018-05-11 00:23:20,1,0,0,0,-1.0
34,2018-05-11 19:18:07,1,0,0,0,-1.0
35,2018-05-11 19:18:56,-1,-1,-1,-1,0.034000001847744
36,2018-05-11 19:18:57,-1,-1,-1,-1,0.034000001847744
37,2018-05-12 01:32:43,1,0,0,0,-1.0
38,2018-05-12 01:32:46,1,0,0,0,-1.0
39,2018-05-12 01:51:57,-1,-1,-1,-1,0.0270000007003546
40,2018-05-12 01:51:59,-1,-1,-1,-1,0.0270000007003546
41,2018-05-12 01:52:44,-1,-1,-1,-1,0.0260000005364418
42,2018-05-12 01:52:45,-1,-1,-1,-1,0.0260000005364418
43,2018-05-12 18:25:23,0,1,0,0,-1.0
44,2018-05-12 20:16:27,0,1,0,0,-1.0
45,2018-05-12 20:17:28,-1,-1,-1,-1,0.0280000008642673
46,2018-05-12 20:17:29,-1,-1,-1,-1,0.0280000008642673
47,2018-05-12 20:18:20,-1,-1,-1,-1,0.0240000002086163
48,2018-05-12 20:18:21,-1,-1,-1,-1,0.0240000002086163
49,2018-05-13 00:37:31,1,0,0,0,-1.0
50,2018-05-13 00:38:19,-1,-1,-1,-1,0.0240000002086163
51,2018-05-13 00:38:20,-1,-1,-1,-1,0.0240000002086163
52,2018-05-18 22:20:23,1,0,0,0,-1.0
53,2018-05-18 22:21:13,-1,-1,-1,-1,0.0320000015199184
54,2018-05-18 22:21:14,-1,-1,-1,-1,0.0320000015199184
55,2018-05-18 23:49:55,1,0,0,0,-1.0
56,2018-05-18 23:50:36,-1,-1,-1,-1,0.025000000372529
57,2018-05-18 23:50:37,-1,-1,-1,-1,0.025000000372529
58,2018-05-19 01:28:22,0,0,1,0,-1.0
59,2018-05-19 01:31:29,-1,-1,-1,-1,0.0
60,2018-05-19 01:31:30,-1,-1,-1,-1,0.0
61,2018-05-19 01:32:11,-1,-1,-1,-1,0.0
62,2018-05-19 01:32:12,-1,-1,-1,-1,0.0
63,2018-05-19 01:33:09,-1,-1,-1,-1,0.116999998688698
64,2018-05-19 01:33:10,-1,-1,-1,-1,0.116999998688698
65,2018-05-19 01:34:15,-1,-1,-1,-1,0.0
66,2018-05-19 01:34:16,-1,-1,-1,-1,0.0
67,2018-05-23 20:34:25,1,0,0,0,-1.0
68,2018-05-23 20:45:41,-1,-1,-1,-1,0.0430000014603138
69,2018-05-23 20:45:42,-1,-1,-1,-1,0.0430000014603138
70,2018-05-25 00:21:34,0,1,0,0,-1.0
71,2018-05-25 00:23:08,-1,-1,-1,-1,0.0209999997168779
72,2018-05-25 00:23:09,-1,-1,-1,-1,0.0209999997168779
73,2018-05-25 23:57:24,0,1,0,0,-1.0
74,2018-05-25 23:57:28,0,0,1,0,-1.0
75,2018-05-25 23:57:30,1,0,0,0,-1.0
76,2018-05-26 00:34:30,0,0,1,0,-1.0
77,2018-05-26 00:47:58,0,0,1,0,-1.0
78,2018-05-26 01:55:54,0,0,1,0,-1.0
79,2018-05-26 02:46:37,0,0,1,0,-1.0
80,2018-05-26 02:46:40,0,0,1,0,-1.0
81,2018-05-26 02:48:47,-1,-1,-1,-1,0.119000002741814
82,2018-05-26 02:48:48,-1,-1,-1,-1,0.119000002741814
83,2018-05-26 03:29:21,-1,-1,-1,-1,0.101999998092651
84,2018-05-26 03:29:22,-1,-1,-1,-1,0.101999998092651
85,2018-05-26 03:29:33,0,0,1,0,-1.0
86,2018-05-30 20:22:09,1,0,0,0,-1.0
87,2018-05-30 20:22:11,1,0,0,0,-1.0
88,2018-05-30 20:22:12,1,0,0,0,-1.0
89,2018-05-30 20:22:13,1,0,0,0,-1.0
90,2018-05-30 21:37:36,0,1,0,0,-1.0
91,2018-05-30 21:37:39,0,1,0,0,-1.0
92,2018-05-30 21:37:40,1,0,0,0,-1.0
93,2018-05-30 23:10:19,0,1,0,0,-1.0
94,2018-05-30 23:11:16,-1,-1,-1,-1,0.129999995231628
95,2018-05-30 23:11:17,-1,-1,-1,-1,0.129999995231628
96,2018-05-31 21:57:58,1,0,0,0,-1.0
97,2018-05-31 21:58:08,1,0,0,0,-1.0
98,2018-05-31 22:42:20,1,0,0,0,-1.0
99,2018-05-31 22:53:51,-1,-1,-1,-1,0.0
100,2018-05-31 22:53:52,-1,-1,-1,-1,0.0
101,2018-05-31 23:42:53,1,0,0,0,-1.0
102,2018-05-31 23:42:59,1,0,0,0,-1.0
103,2018-06-01 01:38:21,-1,-1,-1,-1,0.0430000014603138
104,2018-06-01 01:38:21,-1,-1,-1,-1,0.0430000014603138
105,2018-06-01 01:39:31,-1,-1,-1,-1,0.0399999991059303
106,2018-06-01 01:39:32,-1,-1,-1,-1,0.0399999991059303
107,2018-06-02 23:24:11,1,0,0,0,-1.0
