ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-18 23:46:57,1,0,0,0,-1.0
2,2018-05-20 02:41:58,0,0,1,0,-1.0
3,2018-05-20 02:42:51,0,0,1,0,-1.0
4,2018-05-20 02:42:52,0,0,1,0,-1.0
5,2018-05-20 02:42:53,0,0,1,0,-1.0
6,2018-05-20 02:42:54,1,0,0,0,-1.0
7,2018-05-20 02:42:56,1,0,0,0,-1.0
8,2018-05-20 02:42:57,1,0,0,0,-1.0
9,2018-05-20 02:42:58,1,0,0,0,-1.0
10,2018-05-20 02:45:49,-1,-1,-1,-1,0.136000007390976
11,2018-05-20 02:45:50,-1,-1,-1,-1,0.136000007390976
12,2018-05-26 03:31:56,-1,-1,-1,-1,0.153999999165535
13,2018-05-26 03:31:57,-1,-1,-1,-1,0.153999999165535
14,2018-05-29 22:41:27,1,0,0,0,-1.0
15,2018-05-29 22:41:41,1,0,0,0,-1.0
16,2018-05-29 22:41:42,0,0,1,0,-1.0
17,2018-05-29 22:41:46,0,0,1,0,-1.0
18,2018-05-29 22:41:51,0,0,1,0,-1.0
19,2018-06-01 15:59:42,0,1,0,0,-1.0
20,2018-06-01 15:59:49,0,1,0,0,-1.0
21,2018-06-01 15:59:50,0,1,0,0,-1.0
22,2018-06-06 13:15:22,1,0,0,0,-1.0
23,2018-06-06 13:15:40,1,0,0,0,-1.0
