ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-12 20:22:11,-1,-1,-1,-1,0.0610000006854534
2,2018-05-12 20:22:12,-1,-1,-1,-1,0.0610000006854534
3,2018-05-12 20:24:18,1,0,0,0,-1.0
4,2018-05-12 20:25:19,0,1,0,0,-1.0
5,2018-05-12 20:25:20,0,1,0,0,-1.0
6,2018-05-12 20:25:21,0,1,0,0,-1.0
7,2018-05-12 23:21:18,1,0,0,0,-1.0
8,2018-05-13 14:52:45,1,0,0,0,-1.0
9,2018-05-13 14:52:53,1,0,0,0,-1.0
10,2018-05-13 16:28:21,1,0,0,0,-1.0
11,2018-05-13 16:28:24,0,1,0,0,-1.0
12,2018-05-13 18:37:15,1,0,0,0,-1.0
13,2018-05-13 18:37:18,1,0,0,0,-1.0
14,2018-05-13 18:37:19,0,1,0,0,-1.0
15,2018-05-13 18:37:20,0,1,0,0,-1.0
16,2018-05-17 20:33:08,1,0,0,0,-1.0
17,2018-05-18 19:23:19,1,0,0,0,-1.0
18,2018-05-18 19:23:26,1,0,0,0,-1.0
19,2018-05-18 19:23:27,1,0,0,0,-1.0
20,2018-05-18 19:23:27,1,0,0,0,-1.0
21,2018-05-18 22:32:32,1,0,0,0,-1.0
22,2018-05-18 22:32:35,1,0,0,0,-1.0
23,2018-05-18 22:32:35,0,0,0,1,-1.0
24,2018-05-18 22:32:36,1,0,0,0,-1.0
25,2018-05-18 22:32:38,1,0,0,0,-1.0
26,2018-05-20 21:15:59,1,0,0,0,-1.0
27,2018-05-21 14:52:09,1,0,0,0,-1.0
28,2018-05-21 14:52:12,1,0,0,0,-1.0
29,2018-05-21 14:52:13,1,0,0,0,-1.0
30,2018-05-21 14:52:13,0,0,1,0,-1.0
31,2018-05-21 14:52:16,0,0,1,0,-1.0
32,2018-05-21 14:52:17,0,1,0,0,-1.0
33,2018-05-21 21:06:14,1,0,0,0,-1.0
34,2018-05-21 21:06:18,1,0,0,0,-1.0
35,2018-05-21 21:06:28,1,0,0,0,-1.0
36,2018-05-21 21:06:29,1,0,0,0,-1.0
37,2018-05-21 21:06:29,1,0,0,0,-1.0
38,2018-05-21 21:06:30,1,0,0,0,-1.0
39,2018-05-21 21:06:30,1,0,0,0,-1.0
40,2018-05-21 21:53:49,1,0,0,0,-1.0
41,2018-05-21 21:53:52,1,0,0,0,-1.0
42,2018-05-26 19:16:40,1,0,0,0,-1.0
43,2018-05-26 19:16:47,1,0,0,0,-1.0
44,2018-05-26 19:16:48,0,0,1,0,-1.0
45,2018-05-26 19:16:52,0,0,1,0,-1.0
46,2018-05-26 19:16:54,0,0,0,1,-1.0
47,2018-05-26 19:17:00,1,0,0,0,-1.0
48,2018-05-26 19:17:02,1,0,0,0,-1.0
49,2018-05-26 19:17:35,1,0,0,0,-1.0
50,2018-05-26 19:17:36,1,0,0,0,-1.0
51,2018-05-26 19:17:36,1,0,0,0,-1.0
52,2018-05-26 19:17:37,1,0,0,0,-1.0
53,2018-05-26 19:17:44,1,0,0,0,-1.0
54,2018-05-26 19:17:46,1,0,0,0,-1.0
55,2018-05-26 19:17:47,1,0,0,0,-1.0
56,2018-05-26 19:17:47,1,0,0,0,-1.0
57,2018-05-26 19:17:49,1,0,0,0,-1.0
58,2018-05-27 21:01:24,1,0,0,0,-1.0
59,2018-05-27 21:01:29,1,0,0,0,-1.0
