ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-06-04 14:07:48,1,0,0,0,-1.0
2,2018-05-18 20:38:08,1,0,0,0,-1.0
3,2018-05-18 20:38:54,1,0,0,0,-1.0
4,2018-05-20 16:06:51,0,0,1,0,-1.0
5,2018-05-20 16:07:11,0,0,1,0,-1.0
6,2018-05-20 16:07:31,0,0,1,0,-1.0
7,2018-05-23 18:47:11,1,0,0,0,-1.0
8,2018-05-23 18:47:51,1,0,0,0,-1.0
9,2018-05-25 22:01:18,1,0,0,0,-1.0
10,2018-05-26 20:31:08,1,0,0,0,-1.0
11,2018-05-26 20:31:29,1,0,0,0,-1.0
12,2018-05-26 20:31:44,1,0,0,0,-1.0
13,2018-05-30 16:11:41,1,0,0,0,-1.0
14,2018-05-30 16:11:58,0,0,0,1,-1.0
15,2018-05-30 16:12:11,0,0,0,1,-1.0
16,2018-05-30 16:52:18,1,0,0,0,-1.0
17,2018-05-31 17:02:13,1,0,0,0,-1.0
18,2018-05-31 17:02:39,1,0,0,0,-1.0
19,2018-05-31 17:03:17,1,0,0,0,-1.0
20,2018-05-31 17:42:13,0,0,1,0,-1.0
21,2018-05-31 18:12:17,0,0,1,0,-1.0
22,2018-05-31 21:28:44,1,0,0,0,-1.0
23,2018-05-31 21:28:58,1,0,0,0,-1.0
24,2018-06-02 17:48:28,0,0,1,0,-1.0
25,2018-06-02 17:48:45,0,0,1,0,-1.0
26,2018-06-02 17:49:04,0,0,1,0,-1.0
