ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-16 21:36:31,1,0,0,0,-1.0
2,2018-05-16 21:36:46,0,1,0,0,-1.0
3,2018-05-16 21:36:59,0,0,1,0,-1.0
4,2018-05-16 21:37:17,0,0,0,1,-1.0
5,2018-05-28 09:10:40,1,0,0,0,-1.0
6,2018-05-28 09:10:57,1,0,0,0,-1.0
7,2018-05-28 09:10:58,1,0,0,0,-1.0
8,2018-05-28 09:10:59,1,0,0,0,-1.0
9,2018-05-28 09:10:59,1,0,0,0,-1.0
10,2018-05-28 09:11:00,1,0,0,0,-1.0
11,2018-05-28 09:11:01,1,0,0,0,-1.0
12,2018-05-28 09:11:02,1,0,0,0,-1.0
13,2018-05-28 09:11:03,0,1,0,0,-1.0
14,2018-05-31 21:56:59,1,0,0,0,-1.0
15,2018-06-01 21:02:43,1,0,0,0,-1.0
16,2018-06-01 21:02:45,1,0,0,0,-1.0
17,2018-06-04 20:19:57,1,0,0,0,-1.0
