ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-05 10:22:22,1,0,0,0,-1.0
2,2018-05-05 10:22:25,1,0,0,0,-1.0
3,2018-05-05 10:23:03,0,0,0,1,-1.0
4,2018-05-05 10:23:10,0,0,1,0,-1.0
5,2018-05-05 10:51:04,1,0,0,0,-1.0
6,2018-05-05 10:51:20,1,0,0,0,-1.0
7,2018-05-05 10:51:31,1,0,0,0,-1.0
8,2018-05-05 10:51:32,1,0,0,0,-1.0
9,2018-05-05 10:51:32,1,0,0,0,-1.0
10,2018-05-05 10:51:32,0,1,0,0,-1.0
11,2018-05-05 10:51:32,1,0,0,0,-1.0
12,2018-05-05 10:51:33,1,0,0,0,-1.0
13,2018-05-05 10:51:34,0,1,0,0,-1.0
14,2018-05-05 10:51:35,1,0,0,0,-1.0
15,2018-05-05 10:51:44,1,0,0,0,-1.0
16,2018-05-05 10:51:56,1,0,0,0,-1.0
17,2018-05-05 10:51:57,1,0,0,0,-1.0
18,2018-05-05 10:51:58,1,0,0,0,-1.0
19,2018-05-05 10:51:58,1,0,0,0,-1.0
20,2018-05-05 10:51:58,1,0,0,0,-1.0
21,2018-05-05 10:51:58,1,0,0,0,-1.0
22,2018-05-05 10:51:59,1,0,0,0,-1.0
23,2018-05-05 10:51:59,1,0,0,0,-1.0
24,2018-05-05 10:51:59,1,0,0,0,-1.0
25,2018-05-05 10:51:59,1,0,0,0,-1.0
26,2018-05-05 10:52:06,1,0,0,0,-1.0
27,2018-05-05 10:52:08,1,0,0,0,-1.0
28,2018-05-05 10:52:09,1,0,0,0,-1.0
29,2018-05-05 10:52:10,1,0,0,0,-1.0
30,2018-05-24 19:42:45,0,0,0,1,-1.0
31,2018-05-24 19:43:28,0,0,0,1,-1.0
32,2018-05-24 19:43:29,0,0,0,1,-1.0
33,2018-05-24 19:43:30,1,0,0,0,-1.0
34,2018-05-24 19:43:31,0,0,1,0,-1.0
35,2018-05-24 19:43:33,0,0,1,0,-1.0
36,2018-05-24 19:43:35,0,0,1,0,-1.0
37,2018-05-24 19:43:36,0,1,0,0,-1.0
38,2018-05-24 19:43:37,1,0,0,0,-1.0
39,2018-05-24 19:43:39,1,0,0,0,-1.0
40,2018-05-24 19:43:39,1,0,0,0,-1.0
41,2018-05-24 19:43:40,1,0,0,0,-1.0
42,2018-05-24 19:43:40,0,0,0,1,-1.0
43,2018-05-24 19:43:41,0,0,0,1,-1.0
44,2018-05-24 19:43:41,0,0,0,1,-1.0
45,2018-05-24 19:43:41,0,0,0,1,-1.0
46,2018-05-24 19:43:41,0,0,0,1,-1.0
47,2018-05-24 19:43:42,0,0,0,1,-1.0
48,2018-05-24 19:43:42,0,0,0,1,-1.0
49,2018-05-24 19:43:42,0,0,0,1,-1.0
50,2018-05-24 19:43:42,0,0,0,1,-1.0
51,2018-05-24 19:43:42,0,0,0,1,-1.0
52,2018-05-24 19:43:42,0,0,0,1,-1.0
53,2018-05-24 19:43:43,0,0,0,1,-1.0
54,2018-05-24 19:43:43,0,0,0,1,-1.0
55,2018-05-24 19:43:43,0,0,0,1,-1.0
56,2018-05-24 19:43:43,0,0,0,1,-1.0
57,2018-05-24 19:43:43,0,0,0,1,-1.0
58,2018-05-24 19:43:43,0,0,0,1,-1.0
59,2018-05-24 19:43:44,0,0,0,1,-1.0
60,2018-05-24 19:43:44,0,0,0,1,-1.0
