ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-16 20:40:01,1,0,0,0,-1.0
2,2018-05-17 19:01:49,1,0,0,0,-1.0
3,2018-05-17 19:01:52,1,0,0,0,-1.0
4,2018-05-17 20:24:36,0,1,0,0,-1.0
5,2018-05-17 20:24:41,0,1,0,0,-1.0
6,2018-05-17 20:24:44,0,1,0,0,-1.0
7,2018-05-17 21:45:30,0,1,0,0,-1.0
8,2018-05-17 22:38:33,1,0,0,0,-1.0
9,2018-05-18 01:28:38,1,0,0,0,-1.0
10,2018-05-20 20:23:47,1,0,0,0,-1.0
11,2018-05-24 20:27:55,1,0,0,0,-1.0
12,2018-05-26 21:58:01,1,0,0,0,-1.0
13,2018-05-26 21:58:13,1,0,0,0,-1.0
14,2018-05-29 21:15:59,1,0,0,0,-1.0
