ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-05 20:39:55,1,0,0,0,-1.0
2,2018-05-05 20:40:53,0,1,0,0,-1.0
3,2018-05-10 10:10:04,1,0,0,0,-1.0
4,2018-05-10 10:10:07,1,0,0,0,-1.0
5,2018-05-10 10:10:08,1,0,0,0,-1.0
6,2018-05-15 13:54:50,1,0,0,0,-1.0
7,2018-05-15 13:54:55,1,0,0,0,-1.0
8,2018-05-15 13:54:56,1,0,0,0,-1.0
9,2018-05-15 13:54:57,1,0,0,0,-1.0
10,2018-05-20 11:48:33,1,0,0,0,-1.0
11,2018-05-20 11:48:35,1,0,0,0,-1.0
12,2018-05-23 21:15:27,1,0,0,0,-1.0
13,2018-05-23 21:15:30,1,0,0,0,-1.0
14,2018-06-01 23:41:20,0,1,0,0,-1.0
15,2018-06-05 21:01:11,1,0,0,0,-1.0
16,2018-06-05 21:01:29,1,0,0,0,-1.0
17,2018-06-05 21:01:30,1,0,0,0,-1.0
