ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
1,2018-05-26 02:39:38,-1,-1,-1,-1,0.187999993562698
2,2018-05-26 02:39:39,-1,-1,-1,-1,0.187999993562698
3,2018-05-26 02:42:21,-1,-1,-1,-1,0.123999997973442
4,2018-05-26 02:42:23,-1,-1,-1,-1,0.123999997973442
5,2018-05-26 02:44:50,-1,-1,-1,-1,0.0
6,2018-05-26 02:44:51,-1,-1,-1,-1,0.0
7,2018-05-26 02:47:11,-1,-1,-1,-1,0.168999999761581
8,2018-05-26 02:47:12,-1,-1,-1,-1,0.168999999761581
9,2018-05-26 02:49:18,1,0,0,0,-1.0
10,2018-05-26 02:49:25,1,0,0,0,-1.0
11,2018-05-26 02:49:25,0,0,1,0,-1.0
12,2018-05-26 02:49:30,0,0,1,0,-1.0
13,2018-05-29 21:11:54,1,0,0,0,-1.0
14,2018-05-29 21:11:59,1,0,0,0,-1.0
15,2018-05-29 21:13:06,1,0,0,0,-1.0
16,2018-05-31 11:19:15,1,0,0,0,-1.0
17,2018-05-31 11:19:37,1,0,0,0,-1.0
18,2018-05-31 11:19:40,0,0,1,0,-1.0
19,2018-05-31 11:19:50,0,0,1,0,-1.0
20,2018-05-31 11:19:51,0,0,1,0,-1.0
21,2018-05-31 11:19:53,0,0,1,0,-1.0
22,2018-05-31 11:19:55,0,0,1,0,-1.0
23,2018-06-02 01:32:24,0,0,1,0,-1.0
24,2018-06-02 01:32:33,0,0,1,0,-1.0
25,2018-06-02 01:32:34,0,0,1,0,-1.0
26,2018-06-02 01:32:36,0,0,1,0,-1.0
27,2018-06-02 01:32:39,0,0,1,0,-1.0
28,2018-06-02 01:32:40,0,0,1,0,-1.0
29,2018-06-03 11:46:21,1,0,0,0,-1.0
30,2018-06-03 11:46:41,1,0,0,0,-1.0
